id	label	namespace	icon	source
minecraft:magenta_candle	Magenta Candle	minecraft	launcher-assets\item-icons\minecraft\magenta_candle.png	1.20.1.jar
minecraft:acacia_hanging_sign	Acacia Hanging Sign	minecraft	launcher-assets\item-icons\minecraft\acacia_hanging_sign.png	1.20.1.jar
minecraft:blackstone_wall	Blackstone Wall	minecraft		1.20.1.jar
minecolonies:pirate_leggins	Pirate Leggings	minecolonies	launcher-assets\item-icons\minecolonies\pirate_leggins.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:blue_banner	Blue Banner	minecraft		1.20.1.jar
minecraft:cyan_bed	Cyan Bed	minecraft	launcher-assets\item-icons\minecraft\cyan_bed.png	1.20.1.jar
minecraft:chicken_spawn_egg	Chicken Spawn Egg	minecraft		1.20.1.jar
minecraft:rabbit_spawn_egg	Rabbit Spawn Egg	minecraft		1.20.1.jar
minecraft:jungle_fence_gate	Jungle Fence Gate	minecraft		1.20.1.jar
minecraft:red_banner	Red Banner	minecraft		1.20.1.jar
minecolonies:mediumquarry	Medium Quarry	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:glass_pane	Glass Pane	minecraft	launcher-assets\item-icons\minecraft\glass_pane.png	1.20.1.jar
minecraft:deepslate_redstone_ore	Deepslate Redstone Ore	minecraft	launcher-assets\item-icons\minecraft\deepslate_redstone_ore.png	1.20.1.jar
minecraft:tinted_glass	Tinted Glass	minecraft	launcher-assets\item-icons\minecraft\tinted_glass.png	1.20.1.jar
minecraft:ender_chest	Ender Chest	minecraft	launcher-assets\item-icons\minecraft\ender_chest.png	1.20.1.jar
minecraft:orange_tulip	Orange Tulip	minecraft	launcher-assets\item-icons\minecraft\orange_tulip.png	1.20.1.jar
minecraft:dispenser	Dispenser	minecraft		1.20.1.jar
domum_ornamentum:light_blue_brick_extra	Light Blue Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:pink_shulker_box	Pink Shulker Box	minecraft	launcher-assets\item-icons\minecraft\pink_shulker_box.png	1.20.1.jar
minecraft:green_wool	Green Wool	minecraft	launcher-assets\item-icons\minecraft\green_wool.png	1.20.1.jar
minecraft:cherry_door	Cherry Door	minecraft	launcher-assets\item-icons\minecraft\cherry_door.png	1.20.1.jar
mca:white_warped_crib	Berço Distorcido Branco	mca	launcher-assets\item-icons\mca\white_warped_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:nether_gold_ore	Nether Gold Ore	minecraft	launcher-assets\item-icons\minecraft\nether_gold_ore.png	1.20.1.jar
mca:gray_birch_crib	Berço de Bétula Cinza	mca	launcher-assets\item-icons\mca\gray_birch_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:infested_cobblestone	Infested Cobblestone	minecraft		1.20.1.jar
minecraft:orange_terracotta	Orange Terracotta	minecraft	launcher-assets\item-icons\minecraft\orange_terracotta.png	1.20.1.jar
structurize:blockfluidsubstitution	Fluid Placeholder	structurize	launcher-assets\item-icons\structurize\blockfluidsubstitution.png	structurize-1.20.1-1.0.812-snapshot.jar
minecolonies:blockhutcomposter	Composter's Hut	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:leather_leggings	Leather Pants	minecraft	launcher-assets\item-icons\minecraft\leather_leggings.png	1.20.1.jar
minecraft:pumpkin	Pumpkin	minecraft		1.20.1.jar
mca:blue_bamboo_crib	Berço de Bambu Azul	mca	launcher-assets\item-icons\mca\blue_bamboo_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
mca:magenta_dark_oak_crib	Berço de Carvalho Escuro Magenta	mca	launcher-assets\item-icons\mca\magenta_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:smooth_quartz_stairs	Smooth Quartz Stairs	minecraft		1.20.1.jar
mca:wooden_slanted_headstone	Lápide inclinada de madeira	mca	launcher-assets\item-icons\mca\wooden_slanted_headstone.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:red_floating_carpet	Red Floating Carpet	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
domum_ornamentum:purple_brick_extra	Purple Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
domum_ornamentum:blue_brick_extra	Blue Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
mca:villager_tracker_06	Villager Tracker 06	mca	launcher-assets\item-icons\mca\villager_tracker_06.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:bamboo_mosaic_stairs	Bamboo Mosaic Stairs	minecraft		1.20.1.jar
minecraft:jukebox	Jukebox	minecraft		1.20.1.jar
minecolonies:cookie_dough	Cookie Dough	minecolonies	launcher-assets\item-icons\minecolonies\cookie_dough.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:bamboo_fence_gate	Bamboo Fence Gate	minecraft	launcher-assets\item-icons\minecraft\bamboo_fence_gate.png	1.20.1.jar
domum_ornamentum:brown_brick_extra	Brown Brick Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:piglin_brute_spawn_egg	Piglin Brute Spawn Egg	minecraft		1.20.1.jar
minecraft:dragon_breath	Dragon's Breath	minecraft	launcher-assets\item-icons\minecraft\dragon_breath.png	1.20.1.jar
minecolonies:hand_pie	Hand Pie	minecolonies	launcher-assets\item-icons\minecolonies\hand_pie.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:waxed_cut_copper	Waxed Cut Copper	minecraft		1.20.1.jar
minecraft:birch_fence_gate	Birch Fence Gate	minecraft		1.20.1.jar
mca:black_dark_oak_crib	Berço de Carvalho Escuro Preto	mca	launcher-assets\item-icons\mca\black_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:pink_stained_glass_pane	Pink Stained Glass Pane	minecraft	launcher-assets\item-icons\minecraft\pink_stained_glass_pane.png	1.20.1.jar
minecolonies:caliper	Caliper	minecolonies	launcher-assets\item-icons\minecolonies\caliper.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:flatbread	Flatbread	minecolonies	launcher-assets\item-icons\minecolonies\flatbread.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:cabbage	Cabbage	minecolonies	launcher-assets\item-icons\minecolonies\cabbage.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:acacia_wood	Acacia Wood	minecraft		1.20.1.jar
domum_ornamentum:shingle	Shingle	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
mca:lime_dark_oak_crib	Berço de Carvalho Escuro Lima	mca	launcher-assets\item-icons\mca\lime_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:lime_concrete_powder	Lime Concrete Powder	minecraft	launcher-assets\item-icons\minecraft\lime_concrete_powder.png	1.20.1.jar
mca:villager_tracker_10	Villager Tracker 10	mca	launcher-assets\item-icons\mca\villager_tracker_10.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:acacia_door	Acacia Door	minecraft	launcher-assets\item-icons\minecraft\acacia_door.png	1.20.1.jar
minecraft:light_blue_concrete	Light Blue Concrete	minecraft	launcher-assets\item-icons\minecraft\light_blue_concrete.png	1.20.1.jar
mca:orange_acacia_crib	Berço de Acácia Laranja	mca	launcher-assets\item-icons\mca\orange_acacia_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:vanilla_fence_gate_compat	Vanilla Fence Gate Compat	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
mca:gray_cherry_crib	Berço de Cerejeira Cinza	mca	launcher-assets\item-icons\mca\gray_cherry_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:mud	Mud	minecraft	launcher-assets\item-icons\minecraft\mud.png	1.20.1.jar
domum_ornamentum:one_crossed_lr	One Crossed Lr	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:red_nether_brick_stairs	Red Nether Brick Stairs	minecraft		1.20.1.jar
mca:wedding_ring_rg	Aliança de casamento de ouro rosa	mca	launcher-assets\item-icons\mca\wedding_ring_rg.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:cactus_extra	Cactus Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:iron_door	Iron Door	minecraft	launcher-assets\item-icons\minecraft\iron_door.png	1.20.1.jar
minecraft:clay	Clay	minecraft	launcher-assets\item-icons\minecraft\clay.png	1.20.1.jar
minecraft:bowl	Bowl	minecraft	launcher-assets\item-icons\minecraft\bowl.png	1.20.1.jar
minecraft:elytra	Elytra	minecraft	launcher-assets\item-icons\minecraft\elytra.png	1.20.1.jar
minecraft:light_blue_carpet	Light Blue Carpet	minecraft		1.20.1.jar
minecraft:salmon	Raw Salmon	minecraft	launcher-assets\item-icons\minecraft\salmon.png	1.20.1.jar
minecraft:orange_stained_glass_pane	Orange Stained Glass Pane	minecraft	launcher-assets\item-icons\minecraft\orange_stained_glass_pane.png	1.20.1.jar
mca:yellow_crimson_crib	Berço de Carmesim Amarelo	mca	launcher-assets\item-icons\mca\yellow_crimson_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:cooked_salmon	Cooked Salmon	minecraft	launcher-assets\item-icons\minecraft\cooked_salmon.png	1.20.1.jar
minecraft:dead_horn_coral_block	Dead Horn Coral Block	minecraft	launcher-assets\item-icons\minecraft\dead_horn_coral_block.png	1.20.1.jar
minecraft:stonecutter	Stonecutter	minecraft		1.20.1.jar
minecolonies:yogurt	Yogurt	minecolonies	launcher-assets\item-icons\minecolonies\yogurt.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:mushroom_pizza	Mushroom Pizza	minecolonies	launcher-assets\item-icons\minecolonies\mushroom_pizza.png	minecolonies-1.20.1-1.1.1220-snapshot.jar
minecolonies:shieldmaidenegg	Shieldmaiden Spawn Egg	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
minecraft:mutton	Raw Mutton	minecraft	launcher-assets\item-icons\minecraft\mutton.png	1.20.1.jar
mca:villager_tracker_21	Villager Tracker 21	mca	launcher-assets\item-icons\mca\villager_tracker_21.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
domum_ornamentum:blue_cobblestone_extra	Blue Cobblestone Extra	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecraft:magenta_concrete	Magenta Concrete	minecraft	launcher-assets\item-icons\minecraft\magenta_concrete.png	1.20.1.jar
minecraft:chainmail_boots	Chainmail Boots	minecraft	launcher-assets\item-icons\minecraft\chainmail_boots.png	1.20.1.jar
mca:blue_warped_crib	Berço Distorcido Azul	mca	launcher-assets\item-icons\mca\blue_warped_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecolonies:blockhutstonesmeltery	Brick yard	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
domum_ornamentum:vanilla_doors_compat_spec	Vanilla Doors Compat Spec	domum_ornamentum		domum_ornamentum-1.20.1-1.0.300-snapshot-universal.jar
minecolonies:blockhutrabbithutch	Rabbit Hutch	minecolonies		minecolonies-1.20.1-1.1.1220-snapshot.jar
mca:villager_editor	Editor de aldeão	mca	launcher-assets\item-icons\mca\villager_editor.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:stripped_acacia_log	Stripped Acacia Log	minecraft	launcher-assets\item-icons\minecraft\stripped_acacia_log.png	1.20.1.jar
mca:cyan_dark_oak_crib	Berço de Carvalho Escuro Ciano	mca	launcher-assets\item-icons\mca\cyan_dark_oak_crib.png	minecraft-comes-alive-7.6.16+1.20.1-universal.jar
minecraft:sculk_vein	Sculk Vein	minecraft	launcher-assets\item-icons\minecraft\sculk_vein.png	1.20.1.jar
